s,delta,distance,ratio_linear,ratio_sqrt,nearest_type,row01_l1,idem_error
0.3,0.09,0.47399999999999987,5.266666666666666,1.5799999999999996,class_pair_01,0.6539999999999999,1.942890293094024e-16
0.2,0.04000000000000001,0.3359999999999999,8.399999999999997,1.6799999999999995,class_pair_01,0.4159999999999999,2.220446049250313e-16
0.1,0.010000000000000002,0.18199999999999994,18.199999999999992,1.8199999999999994,class_pair_01,0.202,4.163336342344337e-17
0.07,0.004900000000000001,0.13088599999999997,26.711428571428563,1.8697999999999995,class_pair_01,0.14068599999999998,4.163336342344337e-17
0.05,0.0025000000000000005,0.09524999999999997,38.09999999999998,1.9049999999999994,class_pair_01,0.10025000000000005,2.0816681711721685e-16
0.03,0.0009,0.058253999999999966,64.72666666666663,1.9417999999999989,class_pair_01,0.060053999999999996,1.734723475976807e-17
0.02,0.0004,0.039216000000000015,98.04000000000003,1.9608000000000008,class_pair_01,0.04001600000000012,1.734723475976807e-16
0.01,0.0001,0.019802,198.01999999999998,1.9802,class_pair_01,0.020002000000000027,2.0816681711721685e-17
0.007,4.9000000000000005e-05,0.013902685999999945,283.7282857142846,1.9860979999999921,class_pair_01,0.014000685999999958,3.9898639947466563e-17
0.005,2.5e-05,0.009950249999999917,398.0099999999967,1.9900499999999834,class_pair_01,0.010000250000000018,4.85722573273506e-17
0.003,9e-06,0.005982053999999927,664.6726666666585,1.9940179999999756,class_pair_01,0.006000054000000013,3.426078865054194e-17
0.001,1e-06,0.001998002000000002,1998.0020000000022,1.998002000000002,class_pair_01,0.0020000020000000827,2.7755575615628914e-17
